Agency,Mode,Month,Riders
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2017,9063
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2017,9026
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2017,7824
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2017,9312
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2017,8083
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2017,8703
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2017,8170
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2017,7424
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2018,8337
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2018,7488
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2018,8619
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2018,8279
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2018,8930
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2018,8343
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2018,7970
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2018,9053
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2018,7212
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2018,7940
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2018,7385
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2018,6650
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2019,8032
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2019,5945
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2019,7465
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2019,7645
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2019,7988
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2019,7003
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2019,7379
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2019,6820
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2019,6982
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2019,7336
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2019,5919
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2019,6483
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2020,7077
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2020,6463
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2020,4921
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2020,1852
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2020,2070
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2020,1203
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2020,1291
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2020,1264
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2020,1569
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2020,1902
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2020,1788
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2020,2006
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2021,1636
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2021,1776
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2021,1956
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2021,2028
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2021,1854
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2021,1737
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2021,1964
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2021,1527
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2021,2302
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2021,2293
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2021,2684
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2021,2594
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2022,2744
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2022,2870
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2022,3652
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2022,3088
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2022,3315
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2022,2996
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2022,2849
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2022,3256
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2022,3111
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2022,3515
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2022,3271
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2022,3111
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2023,3443
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2012,21440
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2012,25033
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2012,24723
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2012,24514
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2012,25365
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2012,24196
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2012,24160
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2012,25391
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2012,24312
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2012,23495
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2012,21839
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2012,20545
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2013,22433
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2013,20383
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2013,22203
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2013,21874
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2013,22878
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2013,20998
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2013,21070
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2013,21246
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2013,20648
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2013,22670
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2013,20679
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2013,19643
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2014,22060
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2014,20543
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2014,21753
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2014,22253
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2014,22665
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2014,21536
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2014,21971
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2014,21502
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2014,21342
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2014,22748
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2014,19649
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2014,20579
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2015,20208
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2015,19891
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2015,21052
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2015,21533
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2015,21217
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2015,21562
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2015,22142
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2015,21488
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2015,21989
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2015,22131
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2015,20590
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2015,21244
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2016,19851
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2016,19576
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2016,21652
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2016,19774
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2016,22109
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2016,20916
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2016,20228
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2016,20525
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2016,20053
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2016,19758
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2016,19487
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2016,18040
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2017,17786
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2017,16941
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2017,20217
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2017,18775
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2017,20140
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2017,19332
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2017,19358
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2017,20032
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2017,18252
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2017,18482
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2017,17850
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2017,17214
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2018,17829
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2018,15956
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2018,17657
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2018,16611
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2018,17896
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2018,16516
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2018,16584
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2018,16963
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2018,16414
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2018,18612
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2018,16749
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2018,16050
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2019,16827
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2019,12953
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2019,17568
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2019,17201
